IPS_E3	IPS_E3	IPS_E3	IPS_E4	IPS_E4	IPS_E4
TMEM38A	75	47	75	74	62	64
NWD1	2	1	2	1	0	1
SIN3B	398	342	359	361	359	381
F2RL3	0	0	0	0	0	0
CPAMD8	72	53	56	68	91	51
HAUS8	77	70	75	92	76	78
MYO9B	642	539	552	571	603	572
USE1	48	46	62	55	32	66
OCEL1	68	50	73	74	64	79
NR2F6	655	799	726	620	884	777
USHBP1	52	55	45	58	73	48
BABAM1	919	864	768	891	913	798
ANKLE1	9	6	14	3	13	10
ABHD8	166	133	154	131	154	159
MRPL34	246	283	269	278	345	229
DDA1	191	198	229	201	238	212
ANO8	169	130	129	157	164	132
GTPBP3	198	195	178	187	213	177
PLVAP	0	0	0	0	0	0
BST2	392	291	531	638	461	578
MVB12A	187	179	224	252	206	207
TMEM221	21	11	14	26	21	20
NXNL1	0	0	0	0	0	0
SLC27A1	86	63	92	98	82	84
PGLS	315	292	320	410	361	393
FAM129C	3	2	1	0	2	2
GLT25D1	572	529	445	586	664	571
UNC13A	440	514	243	300	522	204
MAP1S	408	483	432	404	494	485
FCHO1	266	281	201	261	314	203
B3GNT3	21	26	14	23	27	27
INSL3	8	4	4	2	3	4
JAK3	131	128	110	143	134	116
RPL18A	267	184	184	279	205	179
SNORA68	121	193	179	162	207	147
SLC5A5	45	22	41	35	31	33
CCDC124	254	275	235	267	352	272
KCNN1	129	109	147	133	102	109
ARRDC2	129	158	85	130	148	82
IL12RB1	0	0	1	0	0	0
MAST3	94	78	65	86	105	84
PIK3R2	504	540	571	486	625	598
IFI30	220	221	197	251	241	208
MPV17L2	142	176	194	105	161	159
RAB3A	94	78	61	86	67	53
PDE4C	67	43	27	64	44	27
LOC729966	2	1	0	3	2	2
KIAA1683	6	2	2	6	6	5
JUND	343	401	408	364	447	452
MIR3188	1	0	0	0	0	0
LSM4	2084	1985	1489	2126	2094	1304
PGPEP1	163	191	170	155	267	165
GDF15	16	9	32	23	36	61
MIR3189	0	0	0	0	0	0
LRRC25	0	0	4	3	1	3
SSBP4	104	83	162	136	104	149
ISYNA1	790	730	1030	884	854	1039
ELL	156	136	150	131	165	134
FKBP8	2318	2351	2253	2276	2495	2181
KXD1	1149	1030	886	1074	1148	895
UBA52	4485	4112	3710	4621	4326	3486
C19orf60	169	199	221	182	203	216
CRLF1	40	57	29	43	61	18
TMEM59L	52	57	57	38	38	32
KLHL26	71	77	79	66	82	73
CRTC1	63	57	88	68	61	93
COMP	0	2	0	0	0	2
UPF1	1177	1028	1061	1085	1105	980
GDF1	0	0	0	0	0	0
CERS1	80	64	45	71	81	43
COPE	993	1050	968	1100	1125	955
DDX49	261	354	191	283	396	233
HOMER3	141	119	137	114	116	124
SUGP2	1026	681	754	1083	724	795
ARMC6	440	579	463	421	526	470
SLC25A42	125	71	83	87	91	71
TMEM161A	289	274	248	302	288	279
MEF2B	0	0	0	0	0	0
MEF2BNB-MEF2B	0	0	0	0	0	0
MEF2BNB	41	53	35	47	43	28
RFXANK	218	255	207	223	258	234
NR2C2AP	79	59	74	66	77	91
NCAN	91	89	49	61	70	27
HAPLN4	62	80	81	51	85	86
TM6SF2	21	20	21	23	16	21
SUGP1	287	241	244	236	233	254
MAU2	355	275	301	297	330	294
GATAD2A	1036	1263	959	905	1287	1047
TSSK6	27	15	19	21	19	17
NDUFA13	1606	1482	1312	1845	1630	1296
YJEFN3	13	9	15	8	9	26
CILP2	73	97	74	67	73	73
PBX4	8	6	5	11	9	10
LPAR2	206	236	201	179	221	150
GMIP	137	145	131	126	144	90
ATP13A1	402	469	325	330	450	341
ZNF101	268	192	175	254	213	148
ZNF14	212	130	149	220	134	114
LINC00663	38	17	24	39	16	18
ZNF506	165	103	112	180	94	102
ZNF253	400	219	211	415	225	202
ZNF93	651	480	391	610	425	374
ZNF682	180	98	114	187	84	108
ZNF90	424	388	280	351	266	252
ZNF486	207	160	162	180	156	146
MIR1270-1	0	0	0	0	0	0
MIR1270-2	0	0	0	0	0	0
ZNF826P	27	17	22	26	20	19
ZNF737	272	133	135	241	138	153
ZNF626	325	234	208	315	203	203
ZNF85	291	163	147	295	155	180
ZNF430	169	105	107	190	130	94
ZNF714	781	592	522	734	578	481
ZNF431	433	272	263	393	258	244
ZNF708	364	240	173	349	251	198
ZNF738	655	497	428	587	460	471
ZNF493	334	211	189	265	179	161
LOC400680	0	0	1	0	0	0
ZNF429	115	46	62	126	66	70
ZNF100	411	243	280	414	215	249
LOC641367	0	0	0	0	0	0
ZNF43	943	474	627	1028	582	604
ZNF208	2	0	0	0	0	0
ZNF257	0	0	0	0	0	1
ZNF676	0	0	1	0	0	0
ZNF729	1	0	0	0	0	0
ZNF98	0	0	0	0	0	0
LOC440518	0	0	0	0	0	0
ZNF492	0	0	0	0	0	0
ZNF99	0	0	0	1	0	0
ZNF728	0	1	0	1	0	0
ZNF724P	142	89	81	105	71	88
ZNF91	547	313	294	523	294	342
ZNF675	437	247	216	423	255	195
ZNF681	429	241	212	416	261	186
RPSAP58	93	81	62	109	77	58
ZNF726	0	1	0	0	1	2
ZNF254	528	331	297	517	337	307
HAVCR1P1	0	0	0	0	0	0
LINC00662	0	0	0	0	0	1
LOC148145	0	0	0	1	0	0
LOC100505835	0	1	1	0	2	0
UQCRFS1	765	611	485	730	716	530
LOC284395	0	1	0	0	0	0
VSTM2B	5	1	5	4	1	0
POP4	208	168	169	257	173	185
PLEKHF1	72	102	84	66	115	59
C19orf12	134	125	112	182	167	143
CCNE1	203	247	207	193	250	191
URI1	704	632	487	740	687	587
ZNF536	5	0	3	5	2	5
DKFZp566F0947	0	0	0	0	0	0
TSHZ3	58	93	32	71	113	30
THEG5	0	0	0	0	0	0
ZNF507	375	268	289	402	265	295
LOC400684	9	5	6	12	7	11
DPY19L3	612	401	329	658	437	423
PDCD5	325	315	242	374	292	286
ANKRD27	863	728	629	849	793	644
RGS9BP	1	3	1	2	2	2
NUDT19	44	42	40	64	43	48
TDRD12	3	3	4	3	4	3
SLC7A9	2	1	0	0	0	1
CEP89	108	68	86	115	96	78
C19orf40	36	16	27	27	20	29
RHPN2	472	361	418	480	459	388
GPATCH1	108	96	66	87	91	71
WDR88	0	0	0	0	0	0
LRP3	249	314	275	273	369	307
SLC7A10	19	24	9	19	18	9
CEBPA	31	36	46	30	43	34
CEBPA-AS1	25	15	22	23	23	22
CEBPG	559	487	475	595	512	462
PEPD	479	459	447	469	546	450
CHST8	148	182	150	120	134	83
KCTD15	259	205	244	272	238	281
LSM14A	1977	1415	1405	1956	1498	1366
KIAA0355	645	465	462	655	594	476
GPI	5951	5550	4607	5864	6378	4412
PDCD2L	192	234	179	255	195	209
UBA2	3160	2552	2142	3332	2978	2073
WTIP	109	115	94	129	138	149
SCGB1B2P	13	11	8	6	12	9
SCGB2B2	0	0	0	0	0	0
SCGB2B3P	0	0	0	0	0	0
ZNF302	386	197	206	379	204	220
ZNF181	143	83	64	122	67	99
ZNF599	34	25	20	30	31	18
LOC400685	11	4	4	14	12	8
LOC100652909	0	0	0	0	0	1
ZNF30	80	62	64	65	48	80
ZNF792	144	164	119	173	150	101
GRAMD1A	697	679	526	575	654	482
SCN1B	16	17	32	23	18	23
HPN	276	158	313	288	230	257
LOC100128675	2	2	0	2	1	0
FXYD3	0	1	1	3	2	6
LGI4	27	27	45	39	30	31
FXYD1	32	24	21	21	20	17
FXYD7	50	50	39	58	26	35
FXYD5	581	543	421	517	498	431
FAM187B	0	0	0	1	0	0
LSR	886	1044	744	744	1039	728
USF2	562	621	538	673	598	546
HAMP	0	0	0	0	1	1
MAG	4	2	0	5	2	2
CD22	1	0	0	0	1	1
MIR5196	0	0	0	0	0	0
FFAR1	0	0	0	0	0	0
FFAR3	0	0	0	0	0	0
LOC100128682	0	0	0	0	0	0
FFAR2	0	0	0	0	0	0
KRTDAP	5	7	9	7	5	5
DMKN	676	732	505	693	737	435
SBSN	0	0	0	0	1	0
GAPDHS	0	1	1	3	0	3
LOC100506469	95	96	89	72	87	75
TMEM147	686	714	602	729	827	601
ATP4A	5	2	4	1	5	6
HAUS5	169	174	175	175	199	218
RBM42	372	490	451	347	503	389
ETV2	6	8	3	4	8	1
COX6B1	1358	1394	1133	1431	1551	1102
UPK1A	66	45	65	91	56	53
UPK1A-AS1	80	80	34	80	75	37
ZBTB32	0	1	1	1	0	1
MLL4	361	350	243	285	345	298
IGFLR1	20	30	33	40	36	23
U2AF1L4	50	45	42	45	55	52
PSENEN	291	253	251	286	292	229
LIN37	33	44	26	45	42	42
HSPB6	1	1	1	0	3	1
C19orf55	22	23	23	19	29	29
ARHGAP33	59	40	61	67	76	55
PRODH2	0	0	0	0	0	0
NPHS1	17	9	12	19	17	12
KIRREL2	73	64	55	55	73	45
APLP1	109	123	113	129	140	106
NFKBID	36	29	28	31	28	22
HCST	2	5	0	5	6	0
TYROBP	0	0	0	0	0	0
LRFN3	78	97	98	76	110	89
SDHAF1	113	119	87	104	113	59
SYNE4	173	227	122	160	233	141
ALKBH6	71	78	65	71	88	64
CLIP3	208	109	157	191	107	172
THAP8	80	66	74	104	74	73
WDR62	332	444	373	274	499	418
OVOL3	0	1	0	0	0	0
POLR2I	378	444	387	458	480	339
TBCB	743	698	648	738	775	632
CAPNS1	1262	1398	969	1305	1494	1161
COX7A1	3	4	0	3	1	2
ZNF565	28	30	22	20	27	22
ZNF146	2592	1883	1702	2710	1983	1913
LOC100134317	0	0	0	0	0	0
LINC00665	259	269	244	236	237	243
ZFP14	507	271	263	456	299	235
ZFP82	192	138	104	250	179	158
LOC644189	0	0	0	0	0	0
ZNF566	163	108	108	144	135	127
LOC728752	7	10	8	11	7	9
ZNF260	825	465	548	863	518	633
ZNF529	242	185	159	214	194	174
ZNF382	87	43	62	86	67	68
ZNF461	74	46	59	98	57	58
ZNF567	172	125	151	196	153	150
ZNF850	1315	796	924	1139	879	938
ZNF790-AS1	20	19	22	20	17	12
ZNF790	86	53	28	74	68	49
ZNF345	65	42	41	63	54	41
ZNF829	176	114	100	215	110	148
ZNF568	120	69	65	122	72	90
ZNF420	161	103	90	190	130	112
ZNF585A	85	54	60	86	71	53
ZNF585B	154	99	90	155	125	127
ZNF383	48	25	22	44	32	26
LOC284412	0	0	1	0	1	0
HKR1	327	282	294	357	294	296
ZNF527	61	35	39	62	42	56
ZNF569	270	145	194	315	219	191
ZNF570	90	63	47	82	65	52
ZNF793	156	69	85	113	82	83
LOC100507433	14	7	12	3	6	6
ZNF540	1	0	0	3	1	2
ZNF571	60	39	43	69	34	45
ZFP30	187	101	102	221	146	159
ZNF781	15	8	3	6	8	3
ZNF607	368	215	274	338	229	257
ZNF573	97	54	49	86	56	61
LOC644554	35	21	18	20	14	18
LOC100631378	6	1	6	7	4	1
WDR87	1	0	0	0	0	0
SIPA1L3	466	449	444	367	389	473
DPF1	42	47	60	50	32	50
PPP1R14A	16	12	21	13	15	20
SPINT2	2232	2256	1870	2424	2356	1741
YIF1B	576	627	596	603	616	526
C19orf33	42	41	35	21	22	11
KCNK6	151	130	92	113	110	68
CATSPERG	9	3	12	3	4	5
PSMD8	1338	1498	1195	1549	1674	1310
GGN	6	10	6	8	7	5
SPRED3	31	24	30	24	25	35
FAM98C	32	20	32	36	28	42
RASGRP4	12	23	11	10	16	13
RYR1	179	179	152	143	154	115
MAP4K1	61	61	64	99	84	67
EIF3K	1871	1666	1511	1915	1850	1409
ACTN4	1402	1667	1342	1241	1621	1466
CAPN12	40	28	33	29	27	32
LGALS7	0	0	0	0	0	0
LGALS7B	0	0	0	1	0	0
LGALS4	1	1	0	0	0	1
ECH1	572	494	443	603	593	449
HNRNPL	3714	3537	2918	3708	3819	2622
RINL	92	129	81	104	114	89
SIRT2	98	73	96	145	125	141
NFKBIB	131	186	134	107	218	134
LOC643669	1	0	4	2	0	4
SARS2	415	399	400	489	460	404
MRPS12	257	379	266	271	404	297
FBXO17	229	169	217	252	246	238
FBXO27	81	76	55	80	71	68
PAPL	1	8	1	2	2	3
PAK4	458	377	481	416	446	466
NCCRP1	25	28	39	44	15	32
SYCN	0	0	0	0	0	0
IFNL3	0	0	0	0	0	0
IFNL4	0	0	0	0	0	0
IFNL2	0	0	0	0	0	0
IFNL1	0	0	0	0	0	0
LRFN1	30	37	36	33	38	41
GMFG	0	2	1	3	1	0
SAMD4B	482	535	438	394	636	464
PAF1	283	334	213	272	356	220
MED29	380	329	360	355	346	354
ZFP36	30	35	39	26	22	32
MIR4530	0	0	0	0	0	0
PLEKHG2	239	264	277	283	302	330
RPS16	2001	1581	1856	2494	1765	1633
SUPT5H	914	991	894	840	1058	960
TIMM50	597	721	554	688	778	548
DLL3	53	65	46	58	61	26
SELV	39	23	62	35	21	53
EID2B	45	39	16	46	36	32
EID2	193	191	154	186	228	175
LGALS13	0	0	0	0	0	0
LOC100129935	0	0	0	0	0	0
LGALS16	0	0	0	0	0	0
LGALS17A	0	0	0	0	0	0
LGALS14	0	0	0	0	0	0
CLC	0	0	0	0	1	0
LEUTX	0	0	0	0	0	0
DYRK1B	120	103	100	125	123	119
FBL	1678	1695	1483	1661	1896	1406
FCGBP	32	26	21	22	14	22
PSMC4	902	1087	772	823	1061	758
ZNF546	32	14	21	29	19	17
ZNF780B	180	107	86	173	89	107
ZNF780A	246	139	109	273	145	127
MAP3K10	102	105	122	102	112	117
TTC9B	0	0	1	1	1	0
CNTD2	5	2	4	6	4	6
AKT2	676	795	523	621	827	644
MIR641	4	4	2	2	5	1
C19orf47	70	102	72	59	80	101
PLD3	1845	1768	1657	1706	1848	1539
HIPK4	2	4	0	6	3	6
PRX	123	89	128	110	101	106
SERTAD1	45	47	64	57	61	68
SERTAD3	274	182	256	271	217	257
BLVRB	290	267	339	340	329	387
SPTBN4	62	25	63	68	31	53
SHKBP1	395	465	403	382	488	423
LTBP4	388	284	397	439	310	413
NUMBL	135	130	153	106	122	127
ADCK4	264	276	316	297	300	262
ITPKC	166	144	193	152	178	172
C19orf54	78	72	70	77	64	73
SNRPA	1600	1435	1450	1678	1556	1394
MIA	0	0	0	0	0	0
MIA-RAB4B	0	0	0	0	0	0
RAB4B	0	0	0	0	0	0
RAB4B-EGLN2	0	0	0	0	0	0
EGLN2	0	0	1	1	0	0
CYP2A6	0	2	0	0	0	0
CYP2A7	0	1	0	0	0	0
CYP2G1P	0	0	0	1	0	0
CYP2B7P1	8	2	2	5	3	4
CYP2B6	25	64	24	23	43	22
CYP2A13	6	4	6	7	3	4
CYP2F1	1	0	0	0	0	0
CYP2S1	1362	990	1244	1223	822	1034
AXL	837	704	924	822	725	1027
HNRNPUL1	2416	2210	2285	2357	2500	2262
CCDC97	111	102	130	122	128	175
TGFB1	63	61	64	53	68	90
B9D2	24	26	25	31	35	25
TMEM91	38	21	26	28	34	31
EXOSC5	307	342	243	263	339	191
BCKDHA	570	493	509	583	597	461
B3GNT8	3	4	14	4	2	9
ATP5SL	635	599	553	672	646	481
C19orf69	0	0	0	0	0	0
LOC100505495	0	0	0	0	0	0
CEACAM21	0	0	0	0	0	0
CEACAM4	0	0	0	0	0	0
CEACAM7	0	0	0	0	0	0
CEACAM5	1	0	0	0	0	0
CEACAM6	0	1	0	0	0	0
CEACAM3	0	0	0	0	0	0
LYPD4	0	0	0	0	0	0
DMRTC2	0	0	0	0	0	0
RPS19	10461	8740	10219	11856	10749	9840
CD79A	4	5	5	3	2	2
ARHGEF1	254	280	234	235	276	254
RABAC1	427	484	387	435	507	401
ATP1A3	194	217	175	145	202	127
GRIK5	135	156	128	126	135	127
ZNF574	328	338	325	292	291	347
POU2F2	26	15	33	29	29	22
LOC100505622	0	0	0	0	0	1
MIR4323	0	0	0	0	0	0
DEDD2	432	380	372	395	424	328
ZNF526	201	175	191	178	176	182
GSK3A	359	402	291	330	438	317
ERF	334	394	471	355	405	382
CIC	404	409	361	358	441	428
PAFAH1B3	543	639	596	636	734	591
PRR19	34	33	23	33	41	20
TMEM145	26	16	17	23	12	15
MEGF8	739	765	616	704	796	642
CNFN	41	40	31	56	36	34
LOC100996307	7	7	16	20	4	9
LIPE	75	68	73	60	46	52
CXCL17	0	0	0	0	0	0
CEACAM1	12	8	12	12	10	7
CEACAM8	0	0	0	0	0	0
PSG3	0	0	0	0	0	0
PSG8	0	0	0	0	0	0
LOC100289650	0	0	0	0	0	0
PSG10P	0	0	0	0	0	0
PSG1	0	0	0	0	0	0
PSG6	0	0	0	0	0	0
PSG7	0	0	0	0	0	0
PSG11	0	0	0	0	0	0
PSG2	0	0	0	0	0	0
PSG5	0	0	0	0	0	0
PSG4	0	0	0	0	0	0
LOC284344	0	0	0	0	0	0
PSG9	0	0	0	0	0	0
PRG1	0	0	0	0	0	0
CD177	23	24	15	34	34	21
TEX101	0	0	0	1	0	0
LYPD3	19	27	25	25	30	9
PHLDB3	78	63	47	48	50	41
ETHE1	120	90	99	145	116	91
ZNF575	0	0	0	0	1	2
XRCC1	542	426	377	457	442	364
PINLYP	42	54	36	61	45	32
IRGQ	558	686	538	484	644	506
ZNF576	92	86	95	85	92	92
ZNF428	75	77	76	86	104	71
SRRM5	5	2	0	0	0	3
CADM4	94	110	158	123	128	131
PLAUR	43	51	27	53	60	82
IRGC	0	0	0	0	0	0
SMG9	272	223	172	252	244	186
KCNN4	6	9	4	4	11	6
LYPD5	27	13	17	14	9	9
ZNF283	32	27	22	34	26	36
ZNF404	21	16	10	4	4	3
LOC100505715	14	14	8	4	1	3
ZNF45	142	125	126	161	140	148
ZNF221	40	22	16	40	35	31
ZNF155	93	58	70	76	45	54
ZNF230	41	29	33	51	34	37
ZNF222	37	21	30	48	31	26
ZNF223	71	42	43	67	50	48
ZNF284	49	34	28	44	31	43
ZNF224	82	70	53	86	70	64
LOC100379224	21	19	7	6	14	9
ZNF225	68	34	44	66	48	44
ZNF234	106	56	74	92	80	75
ZNF226	149	118	122	182	102	109
ZNF227	302	204	192	278	239	200
ZNF233	28	17	20	30	17	22
ZNF235	22	17	15	24	15	26
ZFP112	71	31	27	81	42	42
ZNF285	25	11	21	29	17	9
ZNF229	0	0	0	0	0	0
ZNF180	147	113	93	154	99	113
CEACAM20	0	0	0	0	0	1
CEACAM22P	1	1	0	1	1	1
IGSF23	0	0	0	0	0	0
PVR	109	136	128	122	138	176
MIR4531	0	0	0	0	0	0
CEACAM19	3	5	0	2	1	1
CEACAM16	0	0	0	0	0	0
BCL3	6	11	8	13	11	12
CBLC	158	110	193	145	134	133
BCAM	679	648	788	729	615	666
PVRL2	1174	1153	1180	1091	1142	1142
TOMM40	785	942	617	632	1001	674
APOE	4873	5233	5572	5090	5225	5580
APOC1	274	258	156	251	289	153
APOC1P1	2	1	3	1	2	1
APOC4-APOC2	0	0	0	0	0	0
APOC4	0	0	0	0	0	0
APOC2	0	0	0	0	0	0
CLPTM1	517	497	431	485	564	421
RELB	172	153	122	136	172	121
CLASRP	252	194	230	236	207	213
ZNF296	43	40	47	47	44	30
GEMIN7	299	219	235	269	214	175
PPP1R37	221	251	231	262	266	263
NKPD1	5	6	8	6	7	6
TRAPPC6A	323	230	309	332	267	278
BLOC1S3	24	28	33	27	39	32
EXOC3L2	37	34	26	24	24	12
MARK4	349	302	346	336	358	320
CKM	0	1	2	1	0	0
KLC3	36	27	44	55	50	53
ERCC2	563	521	560	577	585	589
PPP1R13L	79	73	77	112	149	104
CD3EAP	279	366	229	269	380	281
ERCC1	512	329	406	495	416	471
FOSB	8	5	5	6	6	11
RTN2	124	110	111	117	118	88
PPM1N	93	73	56	83	69	55
VASP	1384	1314	1262	1221	1234	1144
OPA3	222	241	187	275	273	248
GPR4	1	0	0	2	4	2
EML2	211	143	159	240	213	183
MIR330	0	1	0	0	0	0
LOC100287177	1	5	2	0	2	2
GIPR	4	2	5	1	5	3
MIR642A	0	0	0	0	0	0
MIR642B	0	1	0	0	0	0
SNRPD2	2137	2083	1661	2610	2415	1649
QPCTL	206	261	140	224	275	143
FBXO46	266	212	247	239	242	276
LOC388553	0	1	0	0	2	1
SIX5	205	153	234	282	226	289
DMPK	108	114	80	75	117	121
DMWD	148	150	123	150	193	162
RSPH6A	2	3	2	3	1	3
SYMPK	551	597	528	494	686	526
FOXA3	216	177	199	213	240	178
IRF2BP1	218	205	250	206	244	275
MYPOP	37	43	31	41	54	34
NANOS2	1	1	0	0	0	0
NOVA2	22	29	20	21	21	21
CCDC61	73	64	55	68	75	46
MIR769	0	0	0	0	0	0
PGLYRP1	0	1	0	0	0	0
IGFL4	0	1	0	0	0	0
IGFL3	0	0	0	4	2	0
IGFL2	0	0	1	0	1	0
DKFZp434J0226	0	0	0	0	0	0
RNU6-66	0	0	0	0	0	0
IGFL1	0	0	0	0	0	0
HIF3A	184	121	171	177	128	161
PPP5C	832	834	690	805	980	661
CCDC8	288	243	283	317	312	314
PNMAL1	516	404	529	546	490	563
PPP5D1	5	1	3	1	7	2
PNMAL2	70	58	61	65	69	56
CALM3	2316	2380	2004	2608	2564	2087
PTGIR	0	0	1	0	1	3
GNG8	8	2	4	3	1	4
DACT3	30	10	26	18	8	16
DACT3-AS1	0	0	0	1	0	0
PRKD2	227	226	221	231	196	210
MIR320E	0	0	0	0	0	0
STRN4	1295	1328	1375	1277	1437	1431
FKRP	121	120	108	119	119	132
SLC1A5	1125	1688	1269	1080	1645	1087
SNAR-E	11	4	6	14	3	1
AP2S1	633	777	585	637	862	624
ARHGAP35	1470	1170	1039	1267	1231	1151
NPAS1	58	40	99	71	53	78
TMEM160	68	122	88	82	126	115
ZC3H4	624	564	589	602	590	634
SAE1	2251	2034	2025	2189	2069	1928
BBC3	278	246	374	280	310	357
MIR3190	0	0	0	1	1	0
MIR3191	2	1	0	1	3	1
CCDC9	153	126	134	143	148	99
PRR24	12	11	9	12	14	16
C5AR1	0	0	2	1	2	2
C5AR2	0	0	0	0	0	0
DHX34	297	344	157	230	314	195
MEIS3	206	218	160	241	236	168
SLC8A2	124	99	117	103	138	92
KPTN	106	92	133	116	122	99
NAPA-AS1	9	0	3	8	4	3
NAPA	442	421	439	521	491	483
ZNF541	0	1	0	1	0	0
GLTSCR1	33	33	33	23	35	29
EHD2	46	57	75	47	53	92
GLTSCR2	1748	1553	1569	1715	1751	1481
SNORD23	2	12	3	2	7	5
SEPW1	1300	1445	1102	1591	1603	1112
TPRX1	0	0	0	0	0	0
CRX	2	1	5	3	7	9
SULT2A1	0	0	0	0	0	0
SNAR-A12	0	0	0	0	0	0
SNAR-A13	0	0	0	0	0	0
SNAR-C1	0	0	0	0	0	0
SNAR-C5	0	0	0	0	0	0
SNAR-C2	0	0	0	0	0	0
SNAR-A1	0	0	0	0	0	0
SNAR-A2	0	0	0	0	0	0
SNAR-A14	0	0	0	0	0	0
SNAR-A10	0	0	0	0	0	0
SNAR-A11	0	0	0	0	0	0
SNAR-A4	0	0	0	0	0	0
SNAR-A5	0	0	0	0	0	0
SNAR-A9	0	0	0	0	0	0
SNAR-A3	0	0	0	0	0	0
SNAR-A7	0	0	0	0	0	0
SNAR-A6	0	0	0	0	0	0
SNAR-A8	0	0	0	0	0	0
SNAR-C4	0	0	0	0	0	0
SNAR-C3	0	0	0	0	0	0
BSPH1	0	0	0	0	0	0
ELSPBP1	0	0	0	0	0	0
CABP5	0	0	0	0	0	0
PLA2G4C	53	73	24	29	53	14
LIG1	849	959	795	776	913	775
CARD8	226	147	185	243	184	164
LOC100505812	3	6	1	4	5	4
ZNF114	174	98	109	183	97	104
CCDC114	17	16	23	21	15	11
EMP3	140	144	99	103	155	161
TMEM143	64	68	77	87	72	73
SYNGR4	2	0	1	2	1	0
KDELR1	1275	1192	1155	1316	1322	1044
GRIN2D	47	51	32	33	57	32
GRWD1	408	625	452	386	611	436
KCNJ14	4	8	3	2	4	2
CYTH2	381	371	277	373	434	349
LMTK3	127	119	138	141	135	152
SULT2B1	5	3	8	10	7	10
FAM83E	10	3	15	10	8	9
SPACA4	1	0	0	0	0	0
RPL18	8832	7480	7720	9661	8427	7076
SPHK2	208	260	263	199	215	237
DBP	147	84	135	178	116	166
CA11	880	726	765	1156	1021	948
SEC1P	5	5	3	2	5	1
NTN5	1	0	2	3	0	2
FUT2	67	45	38	43	47	34
MAMSTR	23	8	9	20	12	14
RASIP1	56	54	56	40	46	41
IZUMO1	1	1	1	3	6	1
FUT1	160	178	171	158	154	150
FGF21	0	3	1	0	1	1
BCAT2	232	244	197	223	241	189
HSD17B14	80	53	121	127	89	123
PLEKHA4	126	109	114	127	128	151
PPP1R15A	158	173	159	178	184	169
TULP2	13	7	22	17	14	11
NUCB1	1181	1185	1119	1193	1265	1134
DHDH	13	15	10	14	14	14
BAX	533	576	541	640	781	684
FTL	7900	8162	6483	8416	8905	7341
GYS1	636	519	476	551	598	557
RUVBL2	1241	1306	1143	1193	1458	1093
LHB	1	0	0	0	0	1
LOC101059948	0	0	1	0	1	0
CGB	0	0	0	1	0	0
SNAR-G2	2	6	12	3	2	4
CGB2	2	0	1	1	0	0
CGB1	0	0	0	0	0	0
SNAR-G1	7	9	19	7	8	8
CGB5	0	0	0	0	0	0
CGB8	0	0	0	0	0	0
CGB7	5	3	1	3	0	4
NTF4	11	13	16	19	20	9
KCNA7	2	1	3	0	1	1
SNRNP70	1668	1686	1513	1679	1814	1672
LIN7B	25	13	15	28	9	9
C19orf73	11	7	11	9	11	6
PPFIA3	277	253	283	271	278	221
HRC	60	47	77	72	32	47
TRPM4	87	62	65	41	36	57
SLC6A16	6	2	5	4	1	10
MIR4324	0	0	0	1	0	0
CD37	0	0	0	0	0	0
TEAD2	1256	1320	973	1463	1377	1088
DKKL1	20	16	20	26	21	18
CCDC155	1	1	1	0	0	0
PTH2	3	0	2	2	1	1
LOC100507003	9	6	8	11	9	8
SLC17A7	12	10	22	23	8	10
PIH1D1	921	928	789	928	997	754
ALDH16A1	393	443	366	386	475	387
FLT3LG	7	8	12	14	12	8
RPL13A	4941	4583	4011	5554	4968	3372
RPL13AP5	0	0	0	0	0	0
SNORD32A	49	63	35	37	57	40
SNORD33	31	31	47	25	38	39
SNORD34	8	5	11	4	8	9
SNORD35A	26	38	35	20	43	37
RPS11	12273	10547	10369	13698	11885	9578
SNORD35B	7	11	7	5	11	14
MIR150	0	0	0	0	0	0
FCGRT	112	122	110	123	102	104
RCN3	68	83	75	47	69	122
NOSIP	469	565	472	467	552	464
PRRG2	36	31	29	37	27	21
PRR12	284	255	257	233	246	265
RRAS	95	86	74	84	84	83
SCAF1	459	533	428	470	527	526
IRF3	469	656	499	487	676	596
BCL2L12	260	330	237	287	352	242
PRMT1	4033	4282	3301	4112	4829	3028
MIR5088	0	0	0	0	0	0
ADM5	11	13	13	21	24	32
CPT1C	365	370	394	359	361	331
TSKS	0	0	4	2	0	3
AP2A1	1252	1243	1101	1181	1359	1154
FUZ	222	211	167	193	198	159
MED25	281	288	319	254	303	295
PTOV1-AS1	4	8	11	13	6	6
PTOV1	1098	1046	996	1149	1166	947
MIR4749	0	0	0	0	0	0
PNKP	369	328	327	363	385	340
AKT1S1	182	222	157	172	223	174
TBC1D17	179	170	142	183	178	170
MIR4750	0	2	0	0	0	0
IL4I1	0	4	3	2	2	3
NUP62	812	873	896	847	964	941
ATF5	41	58	33	51	60	34
MIR4751	0	0	0	0	0	0
SIGLEC11	0	0	2	0	0	1
SIGLEC16	0	0	1	0	0	0
VRK3	229	179	215	272	178	226
ZNF473	181	153	153	204	173	173
FLJ26850	3	1	0	1	2	0
SNAR-B2	0	0	0	0	0	0
SNAR-B1	0	0	0	0	0	0
SNAR-D	1	0	1	0	0	0
IZUMO2	33	25	29	28	6	14
MYH14	373	368	365	337	360	342
KCNC3	11	8	11	9	13	10
NAPSB	1	0	0	0	0	0
NAPSA	5	2	1	4	7	1
NR1H2	352	297	287	326	346	289
POLD1	1061	1115	996	924	1136	860
